CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
5LNG9,ONE INSPIRATION,CONTAINER,LIBERIA,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,2025/05/09 17:15,KC5,"SHANGHAI, SH"
VRME6,OOCL BANGKOK,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,2025/05/09 17:22,KC14,"YANTIAN, SHENZHEN"
BURP,CHANG HANG KAI TUO,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,2025/05/09 17:28,PAFF,SINGAPORE
VRQQ3,KMTC TAIPEIS,CONTAINER,"HONG KONG, CHINA",KMTC (HK) CO LIMITED,2025/05/09 17:34,KC10,"XIAMEN, FJ"
3WKI9,HERON,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,PENAVICO (HONG KONG) LIMITED,2025/05/09 17:49,SLA,"ZHUHAI, GD"
D5HG4,FALCON TRIUMPH,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SK SHIPPING LIMITED,2025/05/09 18:01,WA2,"OTHER, THAILAND"
3X2095,VIEW,"TANKER (CRUDE,FUEL,DIESEL,LUB)",GUINEA,OCEANUS MARITIME COMPANY LIMITED,2025/05/09 18:03,SLA,OPEN SEA
5LUD7,GLOBAL CROWN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,INCHCAPE SHIPPING SERVICES (HK) LTD,2025/05/09 18:42,SWLA,SENDAI
D5YE8,KMTC SHIMIZU,CONTAINER,LIBERIA,KMTC (HK) CO LIMITED,2025/05/09 18:58,KC11,SINGAPORE
D7CV,ROYAL SAMBU ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",REPUBLIC OF KOREA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,2025/05/09 19:56,SHELL,KOBE
9V2692,DIAMOND INDAH,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,INCHCAPE SHIPPING SERVICES (HK) LTD,2025/05/09 20:21,SELA,JAKARTA
9V7800,EVER WIN,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,2025/05/09 20:35,PSSA,"SHANGHAI, SH"
