CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
9V7852,WAN HAI 367,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/16 16:00,"NANSHAN, SHENZHEN"
VRFO6,JJ SUN,CONTAINER,"HONG KONG, CHINA",OCEANLINKS MARINE LIMITED,CMTY,2025/05/16 16:40,"SHANGHAI, SH"
D7AP,WOORI SUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,REPUBLIC OF KOREA,"UNITRANS AGENCY HONG KONG CO., LIMITED",WL,2025/05/16 17:30,OPEN SEA
D5DG9,HYUNDAI PREMIUM,CONTAINER,LIBERIA,HMM (HONG KONG) LIMITED,PT,2025/05/16 17:30,"SHANGHAI, SH"
V7A4470,ASIAN ISLAND,GENERAL / HEAVY LIFT CARGO,MARSHALL ISLANDS,NS UNITED SHIPPING (HK) CO LIMITED,PSSA,2025/05/16 18:00,OPEN SEA
V2HT3,CEBU,CONTAINER,ANTIGUA & BARBUDA,OOCL HONG KONG BRANCH,KC8,2025/05/16 18:00,MANILA
HO3256,KMTC NAGOYA,CONTAINER,PANAMA,KMTC (HK) CO LIMITED,KC5,2025/05/16 18:00,"SHEKOU, SHENZHEN"
VROR6,SITC KANTO,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,,2025/05/16 19:00,HO CHI MINH CITY
9V7846,WAN HAI 365,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC7,2025/05/16 19:30,TOKYO
3E5084,WIND ARROW,GENERAL / HEAVY LIFT CARGO,PANAMA,NS UNITED SHIPPING (HK) CO LIMITED,PSSA,2025/05/16 20:00,"SHEKOU, SHENZHEN"
9V7936,DAPENG PRINCESS,LIQUIFIED NATURAL GAS TANKER,SINGAPORE,INCHCAPE SHIPPING SERVICES (HK) LTD,SCCA,2025/05/16 20:00,BINTULU
HSGF2,URU BHUM,CONTAINER,THAILAND,REGIONAL CONTAINER LINES (HK) LTD,KC7,2025/05/16 20:00,"SHEKOU, SHENZHEN"
BPBY,XIN DAN DONG,CONTAINER,CHINA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,S,2025/05/16 23:00,"XINGANG, TIANJIN, TJ"
BKLG,EVER BASIS,CONTAINER,"TAIWAN, CHINA",EVERGREEN MARINE (HONG KONG) LTD,KC10,2025/05/16 23:00,"SHEKOU, SHENZHEN"
3FOB4,HORAI BRIDGE,CONTAINER,PANAMA,YANG MING LINE (HONG KONG) LTD,KC9,2025/05/16 23:59,KAOHSIUNG
D5WR5,YM CONSTANCY,CONTAINER,LIBERIA,YANG MING LINE (HONG KONG) LTD,,2025/05/16 23:59,CAT LAI PORT
VRWF4,CA MANILA,CONTAINER,"HONG KONG, CHINA",BEN LINE AGENCIES (HK) LTD,,2025/05/17 02:32,HAIPHONG
BPWN3,KONG QUE LAN,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,SLA,2025/05/17 03:00,BANGKOK
OYLZ2,NAKSKOV MAERSK,CONTAINER,DENMARK,SINOTRANS (HK) SHIPPING LTD,,2025/05/17 03:30,HAIPHONG
9V6517,WAN HAI 296,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/17 08:00,"SHEKOU, SHENZHEN"
VRJT8,COSCO EXCELLENCE,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,,2025/05/17 08:30,"YANTIAN, SHENZHEN"
BHLT,WAN HAI 272,CONTAINER,"TAIWAN, CHINA",HYALINE SHIPPING (HK) CO LTD,,2025/05/17 09:00,LAEM CHABANG
VRSC2,SITC TOKUYAMA,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,,2025/05/17 10:00,"NINGBO, ZJ"
V7ZR2,STARSHIP URSA,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,,2025/05/17 12:00,HO CHI MINH CITY
3FQW5,CHEMOCEAN ORION,CHEMICAL,PANAMA,CONCORD MARINE LIMITED,,2025/05/17 12:00,"OTHER, CHILE"
BOCO2,XIN RONG HE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,SGS HONG KONG LIMITED,,2025/05/17 12:00,MAOMING
3E5816,OCEANIC STAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,SHK AGENCY LIMITED,E,2025/05/17 15:09,BALIKPAPAN
C4NK2,PUSAN C,CONTAINER,CYPRUS,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,W,2025/05/17 16:00,"YANTIAN, GD"
9HYQ8,MAJORCA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MALTA,SGS HONG KONG LIMITED,,2025/05/17 17:00,"TAISHAN, GONGYI, GD"
