CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
CQEA,PANDA 008,CONTAINER,PORTUGAL,"DACHAN, SHENZHEN",SINOTRANS (HK) SHIPPING LTD,11.2,2025/05/15 22:12,SELA
HSB8290,ZIM THAILAND,CONTAINER,THAILAND,SINGAPORE,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,14.1,2025/05/15 22:33,KC19
BKLG,EVER BASIS,CONTAINER,"TAIWAN, CHINA",QINGDAO,EVERGREEN MARINE (HONG KONG) LTD,10.1,2025/05/15 23:23,KC10
VRFO6,JJ SUN,CONTAINER,"HONG KONG, CHINA",HAIPHONG,OCEANLINKS MARINE LIMITED,7.8,2025/05/16 01:14,CMTY
HSGF2,URU BHUM,CONTAINER,THAILAND,HO CHI MINH CITY,REGIONAL CONTAINER LINES (HK) LTD,10,2025/05/16 01:59,KC7
BOAM7,ZHONG GU DONG HAI,CONTAINER,CHINA,"QINZHOU, GX",PENAVICO (HONG KONG) LIMITED,9.1,2025/05/16 03:11,KC20
V2HT3,CEBU,CONTAINER,ANTIGUA & BARBUDA,KAOHSIUNG,OOCL HONG KONG BRANCH,9.6,2025/05/16 03:30,KC8
9V7846,WAN HAI 365,CONTAINER,SINGAPORE,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,9.7,2025/05/16 04:14,KC7
9HA5926,CMA CGM BUZIOS,CONTAINER,MALTA,SINGAPORE,CMA CGM (HONG KONG) LIMITED,11.1,2025/05/16 04:29,KC9
3FOB4,HORAI BRIDGE,CONTAINER,PANAMA,HO CHI MINH CITY,YANG MING LINE (HONG KONG) LTD,8.2,2025/05/16 04:30,KC9
BPWN3,KONG QUE LAN,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,"OTHER, CHINA (COAST)",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,5.6,2025/05/16 04:48,SLA
VRTT8,NICOLAI MAERSK,CONTAINER,"HONG KONG, CHINA","NANSHAN, SHENZHEN",SINOTRANS (HK) SHIPPING LTD,9.7,2025/05/16 05:44,KC17
HO3256,KMTC NAGOYA,CONTAINER,PANAMA,PUSAN,KMTC (HK) CO LIMITED,9.4,2025/05/16 06:09,KC5
V7A5639,GREGOS,CONTAINER,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,9.2,2025/05/16 06:27,KC6
9V7800,EVER WIN,CONTAINER,SINGAPORE,"SHANGHAI, SH",EVERGREEN MARINE (HONG KONG) LTD,8.2,2025/05/16 06:32,LCS1
9V6497,WAN HAI 326,CONTAINER,SINGAPORE,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,9.7,2025/05/16 06:51,KC6
9V9106,SEACON OSLO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,NEWCASTLE,WALLEM SHIPPING (HK) LTD,13.9,2025/05/16 07:39,SELA
D7AP,WOORI SUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,REPUBLIC OF KOREA,DUNG QUAT,"UNITRANS AGENCY HONG KONG CO., LIMITED",5.9,2025/05/16 07:45,SELA
D5DG9,HYUNDAI PREMIUM,CONTAINER,LIBERIA,SINGAPORE,HMM (HONG KONG) LIMITED,12.1,2025/05/16 07:52,KC2
BH3521,SHUN TAI HENG NO.2,FISHING,"TAIWAN, CHINA",HSING TA KANG,ISM SHIPPING AGENT COMPANY,3.2,2025/05/16 08:58,YMTA
VRJT8,COSCO EXCELLENCE,CONTAINER,"HONG KONG, CHINA",VUNGTAU,OOCL HONG KONG BRANCH,10.4,2025/05/16 09:42,KC14
3FQW5,CHEMOCEAN ORION,CHEMICAL,PANAMA,"FANGCHENG, GX",CONCORD MARINE LIMITED,10.5,2025/05/16 10:05,SLA
BPBY,XIN DAN DONG,CONTAINER,CHINA,"OTHER, VIETNAM",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,8.8,2025/05/16 10:08,KC13
3WNW,DONG BA,GENERAL / HEAVY LIFT CARGO,VIETNAM,SAKAIDE,CGW LOGISTICS CO LIMITED,6.3,2025/05/16 11:05,SELA
9V8396,FOREVER DELIGHT,CHEMICAL,SINGAPORE,"QUANZHOU, FJ",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,12.1,2025/05/16 11:52,PAFF
D5WR5,YM CONSTANCY,CONTAINER,LIBERIA,KEELUNG,YANG MING LINE (HONG KONG) LTD,9,2025/05/16 12:39,KC10
VROR6,SITC KANTO,CONTAINER,"HONG KONG, CHINA","WENZHOU, ZJ",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,9.6,2025/05/16 13:08,KC3
RYANTEST,VTSIS2 RYAN TEST VESSEL,CONTAINER,CHINA,HALDIA,FOR VTSIS2 PFO TESTING,10,2025/05/16 13:35,YMTA
