CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
9V8143,OCEAN FEATHER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 22:00,SINGAPORE,"OTHER, CHINA (COAST)",PENAVICO (HONG KONG) LIMITED,RCVD
A8VG2,GSL AFRICA,CONTAINER,2025/05/13 23:00,LIBERIA,LAEM CHABANG,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,RCVD
9V9926,APL MEXICO CITY,CONTAINER,2025/05/13 23:00,SINGAPORE,ZHOUSHAN,CMA CGM (HONG KONG) LIMITED,RCVD
VROS2,MILD TUNE,CONTAINER,2025/05/13 23:00,"HONG KONG, CHINA","NANSHA, PANYU",OCEANLINKS MARINE LIMITED,
3E8804,ZHONG LIAN 8 ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 23:00,PANAMA,"PUTIAN, FJ",E & M AGENCY LIMITED,RCVD
V7A7429,ONSAN CHEMI ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/13 23:00,MARSHALL ISLANDS,"QUANZHOU, FJ",GULF AGENCY CO (HK) LTD,RCVD
A8SN5,ANL WAIKATO ,CONTAINER,2025/05/13 23:00,LIBERIA,"NINGBO, ZJ",CMA CGM (HONG KONG) LIMITED,RCVD
BQMV,FU LIAN,GENERAL / HEAVY LIFT CARGO,2025/05/13 23:00,CHINA,HAIPHONG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
3E7671,FU LONG SHENG,GENERAL / HEAVY LIFT CARGO,2025/05/13 23:00,PANAMA,"BAYUQUAN, LN",CONCORD MARINE LIMITED,RCVD
H3GB,JINYUNHE,CONTAINER,2025/05/13 23:30,PANAMA,HAIPHONG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
VRUN4,ONE AMAZON,CONTAINER,2025/05/14 00:01,"HONG KONG, CHINA",SINGAPORE,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,RCVD
DSAC3,SKY HOPE,CONTAINER,2025/05/14 00:30,REPUBLIC OF KOREA,HAIPHONG,"CK LINE (HONGKONG) CO., LIMITED",RCVD
V7CP9,SEA PLUTO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 01:00,MARSHALL ISLANDS,"NANSHA, PANYU",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,RCVD
VRWN4,OOCL SAN FRANCISCO,CONTAINER,2025/05/14 02:00,"HONG KONG, CHINA",KAOHSIUNG,OOCL HONG KONG BRANCH,RCVD
VRCY6,SEASPAN YINGKOU,CONTAINER,2025/05/14 03:00,"HONG KONG, CHINA","NINGBO, ZJ",EVERGREEN MARINE (HONG KONG) LTD,RCVD
D7QB,HEUNG-A BANGKOK,CONTAINER,2025/05/14 03:00,REPUBLIC OF KOREA,PENANG ISLAND,KONG HING AGENCY LTD,RCVD
9MWL9,NYLEX 1,CHEMICAL,2025/05/14 03:05,MALAYSIA,"DONGGUAN, GD",GULF AGENCY CO (HK) LTD,RCVD
3E5147,SEA MAPLE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 04:00,PANAMA,"FANGCHENG, GX",CGW LOGISTICS CO LIMITED,RCVD
3E3333,ORIENTAL LUCK,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 05:00,PANAMA,OITA,VEROSA AGENCY LIMITED,RCVD
HP9499,HOLLY DEVELOPER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 06:00,PANAMA,"ZHANJIANG, GD",SGS HONG KONG LIMITED,RCVD
BG3669,JIN SHUN LI,FISHING,2025/05/14 06:00,"TAIWAN, CHINA",KAOHSIUNG,LOUNG SING FUNG,
CQAW4,NORDMOSEL,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 06:00,PORTUGAL,BRISBANE,"UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
D5XC7,YM TIPTOP,CONTAINER,2025/05/14 06:00,LIBERIA,HAIPHONG,YANG MING LINE (HONG KONG) LTD,RCVD
OYYC2,HENRY MAERSK ,CHEMICAL,2025/05/14 07:00,DENMARK,SINGAPORE,EEI MARINE LIMITED,RCVD
9WUY7,HARBOUR HORIZON,CONTAINER,2025/05/14 07:00,MALAYSIA,"NANSHA, PANYU",HARBOUR-LINK LINES LIMITED ,RCVD
5LSI3,POST MARVEL,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 07:44,LIBERIA,PRINCE RUPERT,TOTAL MARINE AGENCY LIMITED,RCVD
3EDG8,ZHIDA 6,GENERAL / HEAVY LIFT CARGO,2025/05/14 08:00,PANAMA,DUMAI,PENAVICO (HONG KONG) LIMITED,RCVD
3E2170,APOLLO FIRST,GENERAL / HEAVY LIFT CARGO,2025/05/14 09:00,PANAMA,YAWATA,VEROSA AGENCY LIMITED,RCVD
VRVK6,ZIM AQUAMARINE,CONTAINER,2025/05/14 09:00,"HONG KONG, CHINA","OTHER, TURKEY",ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,RCVD
ZCDU9,PIANO LAND,PASSENGER,2025/05/14 10:00,BERMUDA,"OTHER, JAPAN",LEAGUER SHIPPING LIMITED,RCVD
3FZU7,GROVE ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 10:00,PANAMA,DANANG,INCHCAPE SHIPPING SERVICES (HK) LTD,RCVD
3E7558,MARINA ARUNG,CHEMICAL,2025/05/14 10:00,PANAMA,"OTHER, CHINA (COAST)",WALLEM SHIPPING (HK) LTD,RCVD
9V7391,WAN HAI 359,CONTAINER,2025/05/14 10:30,SINGAPORE,CAT LAI PORT,HYALINE SHIPPING (HK) CO LTD,RCVD
9WTX5,HARBOUR GALAXY,CONTAINER,2025/05/14 12:00,MALAYSIA,MUARA,HARBOUR-LINK LINES LIMITED ,RCVD
VRZK8,OOCL ROTTERDAM,CONTAINER,2025/05/14 12:00,"HONG KONG, CHINA",KAOHSIUNG,OOCL HONG KONG BRANCH,RCVD
5LFT9,VAST OCEAN,LIQUIFIED PETROLEUM GAS TANKER,2025/05/14 12:00,LIBERIA,HAIPHONG,SHK AGENCY LIMITED,RCVD
V7AQ9,GENCO RELIANCE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 12:00,MARSHALL ISLANDS,"OTHER, CHINA (COAST)",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,RCVD
V7A5227,PRESTIGE,CONTAINER,2025/05/14 14:00,MARSHALL ISLANDS,"NINGBO, ZJ",TRANSIT AGENT,RCVD
D7WQ,SM PORTLAND,CONTAINER,2025/05/14 14:00,REPUBLIC OF KOREA,BUSAN,"UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
3E7431,HUI YUAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 15:00,PANAMA,HUIZHOUGANG,SGS HONG KONG LIMITED,RCVD
9V9752,YM CELEBRITY,CONTAINER,2025/05/14 16:00,SINGAPORE,LAEM CHABANG,YANG MING LINE (HONG KONG) LTD,RCVD
V7A2674,SOLAR SUZANNE,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/14 17:00,MARSHALL ISLANDS,MUARA,GULF AGENCY CO (HK) LTD,RCVD
3E4674,YONG JING,GENERAL / HEAVY LIFT CARGO,2025/05/14 18:00,PANAMA,"ZHANGJIAGANG, JS",SK SHIPPING LIMITED,RCVD
