CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
BPDT,SHI DAI 1,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 23:00,CHINA,HUIZHOUGANG,PENAVICO (HONG KONG) LIMITED,RCVD
V7BY9,GOLDEN CIRRUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 23:00,MARSHALL ISLANDS,NEWCASTLE,TOTAL MARINE AGENCY LIMITED,RCVD
A8KN4,LONDON STAR,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/16 23:00,LIBERIA,SINGAPORE,VASTON SHIPPING AGENCY LIMITED,RCVD
D5WI8,BOCHEM LUXEMBOURG,CHEMICAL,2025/05/16 23:00,LIBERIA,GUANGZHOU,SHING FUNG SHIPPING AGENCY CO. LIMITED,RCVD
3FIP2,GOLDEN CENTURY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 23:30,PANAMA,"OTHER, INDONESIA",WELLS MARINE AGENCIES,RCVD
XVEQ7,HAIAN LINK,CONTAINER,2025/05/16 23:30,VIETNAM,HAIPHONG,MEGATOP AGENCY LIMITED,RCVD
3FQW5,CHEMOCEAN ORION,CHEMICAL,2025/05/17 00:00,PANAMA,"FANGCHENG, GX",CONCORD MARINE LIMITED,RCVD
3E7483,OCEANA ROSE,GENERAL / HEAVY LIFT CARGO,2025/05/17 01:00,PANAMA,HONGAI,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,RCVD
3ECW5,HE YUAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 01:00,PANAMA,GUANGZHOU,SGS HONG KONG LIMITED,RCVD
3FZZ8,SOUTHERN LEADER,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/17 01:00,PANAMA,SINGAPORE,GULF AGENCY CO (HK) LTD,RCVD
