CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
3FPF4,SAZANKA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,MOL HONG KONG LIMITED,S,2025/05/12 21:00,OPEN SEA
9HA5839,CNC PUMA,CONTAINER,MALTA,CMA CGM ASIA SHIPPING PTE. LTD.,WL,2025/05/12 21:30,"TIANJIN XINGANG, TJ"
DSMA4,KMTC TIANJIN,CONTAINER,REPUBLIC OF KOREA,KMTC (HK) CO LIMITED,PT,2025/05/12 23:00,PORT KELANG
XVJV7,AMBER,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,BEN LINE AGENCIES (HK) LTD,,2025/05/12 23:00,"DONGGUAN, GD"
VRUB8,EVER ORDER,CONTAINER,"HONG KONG, CHINA",EVERGREEN MARINE (HONG KONG) LTD,WL,2025/05/12 23:00,"YANTIAN, SHENZHEN"
3E2049,EVER CONNECT,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,KC9,2025/05/12 23:00,"SHEKOU, SHENZHEN"
2HDG3,EVER LISSOME,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,EVERGREEN MARINE (HONG KONG) LTD,KC8,2025/05/12 23:00,"YANTIAN, SHENZHEN"
5LGM7,EVER ONWARD,CONTAINER,LIBERIA,EVERGREEN MARINE (HONG KONG) LTD,KC12,2025/05/12 23:00,"SHANGHAI, SH"
BRWT,GUANG MAO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,SGS HONG KONG LIMITED,WL,2025/05/12 23:00,GERALDTON
3EHZ9,KMTC OSAKA,CONTAINER,PANAMA,KMTC (HK) CO LIMITED,WL,2025/05/12 23:30,KAOHSIUNG
9V5866,TAURUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,INCHCAPE SHIPPING SERVICES (HK) LTD,,2025/05/12 23:55,KUANTAN
A8ZM5,FPMC B 108,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"UNITRANS AGENCY HONG KONG CO., LIMITED",,2025/05/12 23:59,OPEN SEA
5LPH8,HUMBOLDT EXPRESS,CONTAINER,LIBERIA,PENAVICO (HONG KONG) LIMITED,NCPBW,2025/05/13 02:00,"YANTIAN, GD"
3EJI7,ZAMBALES,RORO/REEFER CARRIER,PANAMA,EASTERN WORLDWIDE CO LTD,S,2025/05/13 02:00,HAIPHONG
D7VD,DONGJIN CONTINENTAL,CONTAINER,REPUBLIC OF KOREA,SINOTRANS (HK) SHIPPING LTD,PT,2025/05/13 05:00,INCHEON
9HA5092,AFRA ROSSI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MALTA,VASTON SHIPPING AGENCY LIMITED,SINO,2025/05/13 08:00,SINGAPORE
3EKO7,GEMINI PEARL,CHEMICAL,PANAMA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,EMTY,2025/05/13 08:21,"OTHER, VIETNAM"
D5FG7,DENEB,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SGS HONG KONG LIMITED,,2025/05/13 12:00,"SHANWEI, GD"
VRTB6,SEAL ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,,2025/05/13 13:36,OPEN SEA
