CALL_SIGN,VESSEL_NAME,AGENT_NAME,FLAG,ATD_TIME,NEXT_PORT,ATA_TIME,BERTH,LAST_PORT,CURRENT_LOCATION,VESSEL_MAX_DRAFT,PASI,SHIP_TYPE
3E5147,SEA MAPLE,CGW LOGISTICS CO LIMITED,PANAMA,2025/05/14 16:05,OPEN SEA,2025/05/14 04:16,SWLA,"FANGCHENG, GX",SWLA,7.5,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
VRCY6,SEASPAN YINGKOU,EVERGREEN MARINE (HONG KONG) LTD,"HONG KONG, CHINA",2025/05/14 17:08,"DALIAN, LN",2025/05/14 05:32,KC10,"NINGBO, ZJ",KC10,9.2,RCVD,CONTAINER
3E2170,APOLLO FIRST,VEROSA AGENCY LIMITED,PANAMA,2025/05/14 10:04,OPEN SEA,2025/05/14 07:30,SELA,YAWATA,PT,8.31,RCVD,GENERAL / HEAVY LIFT CARGO
5LSI3,POST MARVEL,TOTAL MARINE AGENCY LIMITED,LIBERIA,2025/05/14 19:10,SINGAPORE,2025/05/14 08:57,SELA,PRINCE RUPERT,E,14.5,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
CQIU6,AS COLUMBIA,SINOTRANS (HK) SHIPPING LTD,PORTUGAL,2025/05/14 18:04,LAEM CHABANG,2025/05/14 09:16,KC17,"NANSHA, PANYU",S,7.5,RCVD,CONTAINER
HP9499,HOLLY DEVELOPER,SGS HONG KONG LIMITED,PANAMA,2025/05/14 15:17,NAKHODKA,2025/05/14 09:20,SELA,"ZHANJIANG, GD",W,5.8,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
3E7558,MARINA ARUNG,WALLEM SHIPPING (HK) LTD,PANAMA,2025/05/15 18:44,"DONGGUAN, GD",2025/05/14 09:26,SLA,"OTHER, CHINA (COAST)",SLA,7.2,RCVD,CHEMICAL
V7A5825,TS GUANGZHOU,T.S. LINES LIMITED,MARSHALL ISLANDS,2025/05/14 18:00,"SHEKOU, SHENZHEN",2025/05/14 09:51,KC6,"SHEKOU, SHENZHEN",S,8.8,RCVD,CONTAINER
VRSK4,COSCO SHIPPING LOTUS,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"HONG KONG, CHINA",2025/05/14 21:26,"YANTIAN, SHENZHEN",2025/05/14 09:53,KC14,KAOHSIUNG,WL,13.8,RCVD,CONTAINER
D7QB,HEUNG-A BANGKOK,KONG HING AGENCY LTD,REPUBLIC OF KOREA,2025/05/14 20:59,"SHANGHAI, SH",2025/05/14 10:25,KC9,PENANG ISLAND,S,10.2,RCVD,CONTAINER
V7AQ9,GENCO RELIANCE,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,MARSHALL ISLANDS,2025/05/15 14:49,OPEN SEA,2025/05/14 11:27,SELA,"OTHER, CHINA (COAST)",E,11,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
3E7431,HUI YUAN,SGS HONG KONG LIMITED,PANAMA,2025/05/14 16:56,"TABONEO, INDONESIA",2025/05/14 12:59,SELA,HUIZHOUGANG,E,7.3,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
5BCK2,MEGALOHARI,"UNITRANS AGENCY HONG KONG CO., LIMITED",CYPRUS,2025/05/13 08:25,OPEN SEA,2025/05/13 04:31,SELA,"CHAOZHOU, GD",SELA,6.72,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
3EJI7,ZAMBALES,EASTERN WORLDWIDE CO LTD,PANAMA,2025/05/13 01:56,HAIPHONG,2025/05/12 19:01,CMTY,TAIPEI,S,5.44,RCVD,RORO/REEFER CARRIER
9HA5839,CNC PUMA,CMA CGM ASIA SHIPPING PTE. LTD.,MALTA,2025/05/12 19:16,"TIANJIN XINGANG, TJ",2025/05/12 19:15,URMA,"OTHER, VIETNAM",WL,9.02,RCVD,CONTAINER
VRWI3,OOCL BAUHINIA,OOCL HONG KONG BRANCH,"HONG KONG, CHINA",2025/05/13 15:13,"YANTIAN, SHENZHEN",2025/05/12 23:10,KC14,"YANTIAN, SHENZHEN",KC14,11.5,RCVD,CONTAINER
D7VN,KMTC COLOMBO,KMTC (HK) CO LIMITED,REPUBLIC OF KOREA,2025/05/13 16:59,QINGDAO,2025/05/12 23:16,KC8,KARACHI,KC8,12.5,RCVD,CONTAINER
VRUN6,ONE PARANA,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,"HONG KONG, CHINA",2025/05/13 20:44,SINGAPORE,2025/05/13 00:30,KC2,"NINGBO, ZJ",KC2,14.6,RCVD,CONTAINER
3E8732,HUI FENG HAI 17,CGW LOGISTICS CO LIMITED,PANAMA,2025/05/13 10:00,BATAM,2025/05/13 00:31,SWLA,"TIANJIN XINGANG, TJ",SWLA,7.1,RCVD,GENERAL / HEAVY LIFT CARGO
9V6494,WAN HAI 325,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,2025/05/13 19:41,KAOHSIUNG,2025/05/13 01:24,KC6,SINGAPORE,KC6,11.1,RCVD,CONTAINER
VRMV2,YUEHAI STAR,CGW LOGISTICS CO LIMITED,"HONG KONG, CHINA",2025/05/13 07:29,"JIANGYIN, JS",2025/05/13 02:14,SLA,"DONGGUAN, GD",SLA,6.3,RCVD,CHEMICAL
V7A2844,STAR EXPLORER,NAMSUNG SHIPPING HONG KONG LIMITED,MARSHALL ISLANDS,2025/05/13 12:56,HAIPHONG,2025/05/13 02:18,KC10,INCHEON,KC10,7.6,RCVD,CONTAINER
BLHP,YM IMMENSE,YANG MING LINE (HONG KONG) LTD,"TAIWAN, CHINA",2025/05/13 10:57,KAOHSIUNG,2025/05/13 02:24,KC7,HO CHI MINH CITY,KC7,8.4,RCVD,CONTAINER
9VFL3,ACX DIAMOND,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,SINGAPORE,2025/05/13 16:43,PORT KELANG,2025/05/13 04:06,KC5,KEELUNG,KC5,10,RCVD,CONTAINER
3E5137,CHUNRONG 803,CGW LOGISTICS CO LIMITED,PANAMA,2025/05/13 09:28,"YANGJIANG, GD",2025/05/13 06:08,SWLA,"NANSHA, PANYU",SWLA,5,RCVD,GENERAL / HEAVY LIFT CARGO
VRBK8,OSG BOSSTEC,"UNITRANS AGENCY HONG KONG CO., LIMITED","HONG KONG, CHINA",2025/05/13 14:48,OPEN SEA,2025/05/13 07:24,PT,"SHEKOU, SHENZHEN",FL,6.8,RCVD,CONTAINER
9LU2481,LIAN YUN 9,BRIGHT CAPITAL SHIPPING CO LIMITED,SIERRA LEONE,2025/05/13 11:45,"QUANZHOU, FJ",2025/05/13 07:26,SWLA,TANJUNG PANDANG,S,6.2,RCVD,GENERAL / HEAVY LIFT CARGO
D7IG,QINGDAO TRADER,SINOKOR HONGKONG CO LIMITED,REPUBLIC OF KOREA,2025/05/13 13:03,HAIPHONG,2025/05/13 08:15,KC11,HAIPHONG,WL,9.05,RCVD,CONTAINER
S6ST,KOTA RATU,PACIFIC INTERNATIONAL LINES (HK) LTD,SINGAPORE,2025/05/13 14:55,"HUANGPU, GD",2025/05/13 08:34,KC3,KOROR,PT,4.9,RCVD,CONTAINER
3E7671,FU LONG SHENG,CONCORD MARINE LIMITED,PANAMA,2025/05/13 12:57,BINTULU,2025/05/13 08:36,SELA,"BAYUQUAN, LN",E,7.6,RCVD,GENERAL / HEAVY LIFT CARGO
BPAR,XIN QING DAO,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CHINA,2025/05/13 18:31,"XIAMEN, FJ",2025/05/13 09:14,KC12,LAEM CHABANG,S,11,RCVD,CONTAINER
9V7978,EVER FUTURE,EVERGREEN MARINE (HONG KONG) LTD,SINGAPORE,2025/05/14 03:23,"SHANGHAI, SH",2025/05/13 10:20,KC10,SINGAPORE,S,12.7,RCVD,CONTAINER
5LES7,EVER ORIGIN,EVERGREEN MARINE (HONG KONG) LTD,LIBERIA,2025/05/13 19:54,"SHEKOU, SHENZHEN",2025/05/13 10:28,KC7,HO CHI MINH CITY,S,9.1,RCVD,CONTAINER
9V7381,WAN HAI 353,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,2025/05/12 11:56,TAICHUNG,2025/05/11 22:46,KC13,BUSAN,KC13,10.6,RCVD,CONTAINER
D7SB,DONGJIN VOYAGER,SINOTRANS (HK) SHIPPING LTD,REPUBLIC OF KOREA,2025/05/12 08:34,HAIPHONG,2025/05/12 01:16,KC18,"SHANGHAI, SH",KC18,9.9,RCVD,CONTAINER
D5TI7,HONG RUN 6,P. M. S. HONG KONG LIMITED,LIBERIA,2025/05/12 06:41,"OTHER, RUSSIAN",2025/05/12 01:20,SWLA,"OTHER, CHINA (COAST)",SWLA,7.1,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
3E5352,SKY CHALLENGE,"CK LINE (HONGKONG) CO., LIMITED",PANAMA,2025/05/12 12:28,"SHEKOU, SHENZHEN",2025/05/12 01:24,KC11,PUSAN,KC11,8.9,RCVD,CONTAINER
3E2605,DS EXPRESS 178,"UNITRANS AGENCY HONG KONG CO., LIMITED",PANAMA,2025/05/12 06:39,OPEN SEA,2025/05/12 02:00,SWLA,"ZHENJIANG, JS",SWLA,6.9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
DSMA4,KMTC TIANJIN,KMTC (HK) CO LIMITED,REPUBLIC OF KOREA,2025/05/13 00:02,PORT KELANG,2025/05/12 07:38,KC6,"SHANGHAI, SH",PT,11.1,RCVD,CONTAINER
BRWT,GUANG MAO,SGS HONG KONG LIMITED,CHINA,2025/05/12 13:22,GERALDTON,2025/05/12 08:09,SWLA,GUANGZHOU,WL,7.1,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
5LPH8,HUMBOLDT EXPRESS,PENAVICO (HONG KONG) LIMITED,LIBERIA,2025/05/13 02:59,"YANTIAN, GD",2025/05/12 08:10,KC5,VALPARAISO,NCPBW,14,RCVD,CONTAINER
9V8480,KOTA LEKAS,PACIFIC INTERNATIONAL LINES (HK) LTD,SINGAPORE,2025/05/12 17:59,"NANSHA, PANYU",2025/05/12 08:16,KC3,"XIAMEN, FJ",WL,10.9,RCVD,CONTAINER
VRUB8,EVER ORDER,EVERGREEN MARINE (HONG KONG) LTD,"HONG KONG, CHINA",2025/05/12 18:27,"YANTIAN, SHENZHEN",2025/05/12 08:28,KC7,"FUQING, FJ",WL,11.6,RCVD,CONTAINER
