VESSEL_NAME,BERTH,ETA,ASSIGNED_START,ESTIMATED_END,WAIT_TIME
HUMBOLDT EXPRESS,KC18,2025-05-12 06:00:00,2025-05-12 06:00:00,2025-05-13 02:00:00,0 days
EVER ORDER,KC3,2025-05-12 07:00:00,2025-05-12 07:00:00,2025-05-12 23:00:00,0 days
CNC PUMA,TMECO,2025-05-12 07:00:00,2025-05-12 07:00:00,2025-05-12 21:30:00,0 days
MEGALOHARI,SELA,2025-05-12 08:00:00,2025-05-12 08:00:00,2025-05-13 11:00:00,0 days
FOREVER GLORY,KC17,2025-05-12 08:00:00,2025-05-12 08:00:00,2025-05-13 18:00:00,0 days
SAZANKA,KC19,2025-05-12 10:00:00,2025-05-12 10:00:00,2025-05-12 21:00:00,0 days
STR LUCKY,KC2,2025-05-12 10:00:00,2025-05-12 10:00:00,2025-05-15 23:00:00,0 days
KMTC SINGAPORE,KC7,2025-05-12 14:00:00,2025-05-12 14:00:00,2025-05-14 12:00:00,0 days
ZIRCON,KC11,2025-05-12 16:00:00,2025-05-12 16:00:00,2025-05-12 12:00:00,0 days
ACX DIAMOND,KC11,2025-05-12 16:00:00,2025-05-12 16:00:00,2025-05-13 21:00:00,0 days
MANET,KC9,2025-05-12 16:30:00,2025-05-12 16:30:00,2025-05-13 09:00:00,0 days
YUEHAI STAR,KC6,2025-05-12 18:00:00,2025-05-12 18:00:00,2025-05-13 08:00:00,0 days
ZAMBALES,SWLA,2025-05-12 18:00:00,2025-05-12 18:00:00,2025-05-13 02:00:00,0 days
OSG BOSSTEC,SHELL,2025-05-12 20:00:00,2025-05-12 20:00:00,2025-05-13 08:00:00,0 days
KMTC COLOMBO,SLA,2025-05-12 21:00:00,2025-05-12 21:00:00,2025-05-13 17:00:00,0 days
CMA CGM DIGNITY,KC19,2025-05-12 21:00:00,2025-05-12 21:00:00,2025-05-13 13:00:00,0 days
HUI FENG HAI 17,KC10,2025-05-12 23:00:00,2025-05-12 23:00:00,2025-05-13 08:00:00,0 days
WAN HAI 325,KC12,2025-05-12 23:59:00,2025-05-12 23:59:00,2025-05-13 18:00:00,0 days
CHANG SHENG JI 7,KC14,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-14 04:00:00,0 days
YM IMMENSE,TMECO,2025-05-13 02:00:00,2025-05-13 02:00:00,2025-05-13 23:59:00,0 days
SEASPAN YINGKOU,PT,2025-05-13 03:00:00,2025-05-13 03:00:00,2025-05-14 23:00:00,0 days
STAR EXPLORER,SWLA,2025-05-13 06:00:00,2025-05-13 06:00:00,2025-05-13 13:00:00,0 days
KOTA RATU,KC,2025-05-13 07:00:00,2025-05-13 07:00:00,2025-05-13 18:00:00,0 days
EVER FUTURE,SHELL,2025-05-13 09:00:00,2025-05-13 09:00:00,2025-05-13 23:00:00,0 days
EVER ORIGIN,KC9,2025-05-13 09:00:00,2025-05-13 09:00:00,2025-05-13 23:00:00,0 days
XIN QING DAO,KC4,2025-05-13 09:00:00,2025-05-13 09:00:00,2025-05-13 21:30:00,0 days
TEXAS TRIUMPH,SELA,2025-05-13 17:30:00,2025-05-13 17:30:00,2025-05-14 23:00:00,0 days
HUI YUAN,KC6,2025-05-13 18:00:00,2025-05-13 18:00:00,2025-05-15 14:00:00,0 days
YM HARMONY,KC5,2025-05-13 20:00:00,2025-05-13 20:00:00,2025-05-14 09:00:00,0 days
UNI-PREMIER,KC11,2025-05-13 22:00:00,2025-05-13 22:00:00,2025-05-14 23:00:00,0 days
GSL AFRICA,SHELL,2025-05-13 23:00:00,2025-05-13 23:00:00,2025-05-14 10:00:00,0 days
FU LONG SHENG,SHELL,2025-05-13 23:00:00,2025-05-13 23:00:00,2025-05-13 23:00:00,0 days
FU LIAN,SWLA,2025-05-13 23:00:00,2025-05-13 23:00:00,2025-05-14 12:00:00,0 days
ANL WAIKATO ,WA3,2025-05-13 23:00:00,2025-05-13 23:00:00,2025-05-14 12:00:00,0 days
ONE AMAZON,KC9,2025-05-14 00:01:00,2025-05-14 00:01:00,2025-05-14 21:00:00,0 days
OOCL SAN FRANCISCO,SLA,2025-05-14 02:00:00,2025-05-14 02:00:00,2025-05-14 23:00:00,0 days
HEUNG-A BANGKOK,KC19,2025-05-14 03:00:00,2025-05-14 03:00:00,2025-05-14 18:30:00,0 days
SEA MAPLE,KC10,2025-05-14 04:00:00,2025-05-14 04:00:00,2025-05-14 15:00:00,0 days
HOLLY DEVELOPER,KC8,2025-05-14 06:00:00,2025-05-14 06:00:00,2025-05-14 23:00:00,0 days
FENGYUNHE,KC14,2025-05-14 07:00:00,2025-05-14 07:00:00,2025-05-15 13:00:00,0 days
HARBOUR HORIZON,KC,2025-05-14 07:00:00,2025-05-14 07:00:00,2025-05-14 21:30:00,0 days
POST MARVEL,KC12,2025-05-14 07:44:00,2025-05-14 07:44:00,2025-05-15 10:13:00,0 days
APOLLO FIRST,KC5,2025-05-14 09:00:00,2025-05-14 09:00:00,2025-05-14 18:00:00,0 days
MARINA ARUNG,SHELL,2025-05-14 10:00:00,2025-05-14 10:00:00,2025-05-15 18:43:00,0 days
GENCO RELIANCE,KC7,2025-05-14 12:00:00,2025-05-14 12:00:00,2025-05-15 10:14:00,0 days
HONG JING,KC11,2025-05-14 17:00:00,2025-05-14 17:00:00,2025-05-12 11:43:00,0 days
TS SURABAYA,KC11,2025-05-14 17:00:00,2025-05-14 17:00:00,2025-05-15 10:11:00,0 days
EVER BIRTH,WA3,2025-05-14 21:00:00,2025-05-14 21:00:00,2025-05-15 18:00:00,0 days
HYUNDAI FAITH,KC9,2025-05-14 21:30:00,2025-05-14 21:30:00,2025-05-15 08:00:00,0 days
