CALL_SIGN,VESSEL_NAME,AGENT_NAME,FLAG,NEXT_PORT,ETD_TIME,BERTH,LAST_PORT,CURRENT_LOCATION,VESSEL_MAX_DRAFT,PASI,SHIP_TYPE,ETA_TIME
VRPS8,SILVER JOAN,GULF AGENCY CO (HK) LTD,"HONG KONG, CHINA",SINGAPORE,2025/05/16 11:05,,SINGAPORE,SLA,9.5,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/14 19:00
XVEQ7,HAIAN LINK,MEGATOP AGENCY LIMITED,VIETNAM,"NANSHA, PANYU",2025/05/11 18:00,,HAIPHONG,KC10,7.3,RCVD,CONTAINER,2025/05/16 23:30
BPIU9,HONG JING,S5 ASIA LIMITED,CHINA,"DONGGUAN, GD",2025/05/12 11:43,,"DONGGUAN, GD",SHELL,6,RCVD,LIQUIFIED PETROLEUM GAS TANKER,2025/05/14 17:00
V7A6349,TS SURABAYA,T.S. LINES LIMITED,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",2025/05/15 10:11,,"NANSHA, PANYU",KC6,7.7,RCVD,CONTAINER,2025/05/14 17:00
3EUL8,EVER BIRTH,EVERGREEN MARINE (HONG KONG) LTD,PANAMA,"YANTIAN, SHENZHEN",2025/05/15 18:00,,KUANTAN,KC7,10.3,RCVD,CONTAINER,2025/05/14 21:00
VRFQ5,OCEAN DUKE,SGS HONG KONG LIMITED,"HONG KONG, CHINA",PORT HEDLAND,2025/05/15 22:00,,"LUOYUAN, FJ",SELA,8.6,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 22:00
V7PS7,HYUNDAI FAITH,HMM (HONG KONG) LIMITED,MARSHALL ISLANDS,QINGDAO,2025/05/15 08:00,,SINGAPORE,KC5,11.5,RCVD,CONTAINER,2025/05/14 21:30
3FDY9,KMTC GWANGYANG,KMTC (HK) CO LIMITED,PANAMA,HO CHI MINH CITY,2025/05/15 08:30,,ULSAN,KC9,9.4,RCVD,CONTAINER,2025/05/14 21:30
9HA5502,CMA CGM DIGNITY,CMA CGM (HONG KONG) LIMITED,MALTA,"NINGBO, ZJ",2025/05/13 13:00,,BUSAN,S,13.3,RCVD,CONTAINER,2025/05/12 21:00
3E4122,SHOKAI ,INCHCAPE SHIPPING SERVICES (HK) LTD,PANAMA,VUNGTAU,2025/05/15 23:55,,"OTHER, CHINA (COAST)",SLA,6.9,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/15 06:00
9V6015,MAERSK QINZHOU,PENAVICO (HONG KONG) LIMITED,SINGAPORE,KEELUNG,2025/05/15 10:30,,DANANG,KC,9.7,RCVD,CONTAINER,2025/05/15 01:00
3FXG8,FENGYUNHE,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,PANAMA,"QINZHOU, GX",2025/05/15 13:00,,"YANTIAN, GD",KC10,7.6,RCVD,CONTAINER,2025/05/14 07:00
VRFO2,MAERSK NINGBO,SINOTRANS (HK) SHIPPING LTD,"HONG KONG, CHINA",BRISBANE,2025/05/15 20:00,,"SHANGHAI, SH",WA,10.3,RCVD,CONTAINER,2025/05/15 05:30
VRVS3,COSCO SHIPPING BRAZIL,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"HONG KONG, CHINA","TIANJIN XINGANG, TJ",2025/05/16 10:00,,SINGAPORE,ELC,11.5,RCVD,CONTAINER,2025/05/15 09:00
5LHO2,AVIOS,SINOTRANS (HK) SHIPPING LTD,LIBERIA,"SHANGHAI, SH",2025/05/15 15:00,,LAEM CHABANG,PT,9.3,RCVD,CONTAINER,2025/05/15 06:30
VRAB8,CSCL ASIA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"HONG KONG, CHINA","NINGBO, ZJ",2025/05/15 18:00,,"DALIAN, LN",E,9.8,RCVD,CONTAINER,2025/05/15 06:00
BQXZ,HAI SU 6,SINOTRANS (HK) SHIPPING LTD,CHINA,"SHEKOU, SHENZHEN",2025/05/15 15:00,,"SHANTOU, GD",E,7.1,RCVD,CONTAINER,2025/05/15 09:00
V7A7425,TS PUSAN,T.S. LINES LIMITED,MARSHALL ISLANDS,"XINGANG, TIANJIN, TJ",2025/05/15 11:08,,MANILA,E,7.4,RCVD,CONTAINER,2025/05/15 09:00
VRSL6,LAUTOKA CHIEF,WALLEM SHIPPING (HK) LTD,"HONG KONG, CHINA",LAE,2025/05/15 22:00,,"NANSHA, PANYU",S,10,RCVD,CONTAINER,2025/05/15 08:30
V7A4470,ASIAN ISLAND,NS UNITED SHIPPING (HK) CO LIMITED,MARSHALL ISLANDS,OPEN SEA,2025/05/16 18:00,,KEELUNG,PSSA,6.29,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/15 13:00
3FMG7,TEXAS TRIUMPH,EVERGREEN MARINE (HONG KONG) LTD,PANAMA,"YANTIAN, SHENZHEN",2025/05/14 23:00,,KAOHSIUNG,KC8,12.8,RCVD,CONTAINER,2025/05/13 17:30
3E6682,CHANG SHENG JI 7,CONCORD MARINE LIMITED,PANAMA,KAOHSIUNG,2025/05/14 04:00,,"SHANGHAI, SH",W,7,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/13 00:00
BLIG,YM HARMONY,YANG MING LINE (HONG KONG) LTD,"TAIWAN, CHINA",HAIPHONG,2025/05/14 09:00,,KAOHSIUNG,KC14,8.5,RCVD,CONTAINER,2025/05/13 20:00
DSOA9,KMTC SINGAPORE,KMTC (HK) CO LIMITED,REPUBLIC OF KOREA,KEELUNG,2025/05/14 12:00,,LAEM CHABANG,WA,9.4,RCVD,CONTAINER,2025/05/12 14:00
VREU8,SC LIAONING,GULF AGENCY CO (HK) LTD,"HONG KONG, CHINA",SINGAPORE,2025/05/14 23:59,,DAESAN,SHELL,8.7,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/11 09:00
A8VG2,GSL AFRICA,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,LIBERIA,"SHANGHAI, SH",2025/05/14 10:00,,LAEM CHABANG,KC18,10.7,RCVD,CONTAINER,2025/05/13 23:00
A8SN5,ANL WAIKATO ,CMA CGM (HONG KONG) LIMITED,LIBERIA,"SHEKOU, SHENZHEN",2025/05/14 12:00,,"NINGBO, ZJ",KC7,10.7,RCVD,CONTAINER,2025/05/13 23:00
BQMV,FU LIAN,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CHINA,QINGDAO,2025/05/14 12:00,,HAIPHONG,ELC,6.4,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/13 23:00
VRWN4,OOCL SAN FRANCISCO,OOCL HONG KONG BRANCH,"HONG KONG, CHINA",SINGAPORE,2025/05/14 23:00,,KAOHSIUNG,KC,10.3,RCVD,CONTAINER,2025/05/14 02:00
VRUN4,ONE AMAZON,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,"HONG KONG, CHINA","SHANGHAI, SH",2025/05/14 21:00,,SINGAPORE,KC5,13.2,RCVD,CONTAINER,2025/05/14 00:01
9WUY7,HARBOUR HORIZON,HARBOUR-LINK LINES LIMITED ,MALAYSIA,KUCHING,2025/05/14 21:30,,"NANSHA, PANYU",SELA,8,RCVD,CONTAINER,2025/05/14 07:00
H3YG,UNI-PREMIER,EVERGREEN MARINE (HONG KONG) LTD,PANAMA,KOTA KINABALU,2025/05/14 23:00,,KAOHSIUNG,KC,8.8,RCVD,CONTAINER,2025/05/13 22:00
