CALL_SIGN,FLAG,SHIP_TYPE,ETA_TIME,ETD_TIME,CURRENT_LOCATION,VESSEL_MAX_DRAFT,NEXT_PORT,PASI,VESSEL_NAME,AGENT_NAME,BERTH,LAST_PORT,WEATHER_IMPACT_PCT,CONGESTION_IMPACT_PCT
BPIU9,CHINA,LIQUIFIED PETROLEUM GAS TANKER,2025/05/14 17:00,2025/05/12 11:43,SHELL,6.0,"DONGGUAN, GD",RCVD,HONG JING,S5 ASIA LIMITED,SHELL,"DONGGUAN, GD",0,0
V7A6349,MARSHALL ISLANDS,CONTAINER,2025/05/14 17:00,2025/05/15 10:11,KC6,7.7,"SHEKOU, SHENZHEN",RCVD,TS SURABAYA,T.S. LINES LIMITED,KC6,"NANSHA, PANYU",27.91,22.09
3EUL8,PANAMA,CONTAINER,2025/05/14 21:00,2025/05/15 18:00,KC7,10.3,"YANTIAN, SHENZHEN",RCVD,EVER BIRTH,EVERGREEN MARINE (HONG KONG) LTD,KC7,KUANTAN,22.51,26.98
VRFQ5,"HONG KONG, CHINA",BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 22:00,2025/05/15 22:00,SELA,8.6,PORT HEDLAND,RCVD,OCEAN DUKE,SGS HONG KONG LIMITED,SELA,"LUOYUAN, FJ",24.02,26.88
V7PS7,MARSHALL ISLANDS,CONTAINER,2025/05/14 21:30,2025/05/15 08:00,KC5,11.5,QINGDAO,RCVD,HYUNDAI FAITH,HMM (HONG KONG) LIMITED,KC5,SINGAPORE,30.48,14.16
3FDY9,PANAMA,CONTAINER,2025/05/14 21:30,2025/05/15 08:30,KC9,9.4,HO CHI MINH CITY,RCVD,KMTC GWANGYANG,KMTC (HK) CO LIMITED,KC9,ULSAN,29.91,15.03
9HA5502,MALTA,CONTAINER,2025/05/12 21:00,2025/05/13 13:00,S,13.3,"NINGBO, ZJ",RCVD,CMA CGM DIGNITY,CMA CGM (HONG KONG) LIMITED,SELA,BUSAN,22.79,24.26
3E4122,PANAMA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/15 06:00,2025/05/15 23:55,SLA,6.9,VUNGTAU,RCVD,SHOKAI ,INCHCAPE SHIPPING SERVICES (HK) LTD,SLA,"OTHER, CHINA (COAST)",16.73,35.24
9V6015,SINGAPORE,CONTAINER,2025/05/15 01:00,2025/05/15 10:30,KC,9.7,KEELUNG,RCVD,MAERSK QINZHOU,PENAVICO (HONG KONG) LIMITED,KC19,DANANG,26.41,21.57
3FXG8,PANAMA,CONTAINER,2025/05/14 07:00,2025/05/15 13:00,KC10,7.6,"QINZHOU, GX",RCVD,FENGYUNHE,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KC10,"YANTIAN, GD",20.48,29.74
VRFO2,"HONG KONG, CHINA",CONTAINER,2025/05/15 05:30,2025/05/15 20:00,WA,10.3,BRISBANE,RCVD,MAERSK NINGBO,SINOTRANS (HK) SHIPPING LTD,KC19,"SHANGHAI, SH",17.99,31.68
VRVS3,"HONG KONG, CHINA",CONTAINER,2025/05/15 09:00,2025/05/16 10:00,ELC,11.5,"TIANJIN XINGANG, TJ",RCVD,COSCO SHIPPING BRAZIL,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KC14,SINGAPORE,21.28,26.13
5LHO2,LIBERIA,CONTAINER,2025/05/15 06:30,2025/05/15 15:00,PT,9.3,"SHANGHAI, SH",RCVD,AVIOS,SINOTRANS (HK) SHIPPING LTD,KC4,LAEM CHABANG,11.8,39.92
VRAB8,"HONG KONG, CHINA",CONTAINER,2025/05/15 06:00,2025/05/15 18:00,E,9.8,"NINGBO, ZJ",RCVD,CSCL ASIA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KC13,"DALIAN, LN",13.54,39.27
BQXZ,CHINA,CONTAINER,2025/05/15 09:00,2025/05/15 15:00,E,7.1,"SHEKOU, SHENZHEN",RCVD,HAI SU 6,SINOTRANS (HK) SHIPPING LTD,CMTY,"SHANTOU, GD",14.23,44.93
V7A7425,MARSHALL ISLANDS,CONTAINER,2025/05/15 09:00,2025/05/15 11:08,E,7.4,"XINGANG, TIANJIN, TJ",RCVD,TS PUSAN,T.S. LINES LIMITED,KC7,MANILA,12.8,49.39
VRSL6,"HONG KONG, CHINA",CONTAINER,2025/05/15 08:30,2025/05/15 22:00,S,10.0,LAE,RCVD,LAUTOKA CHIEF,WALLEM SHIPPING (HK) LTD,KC2,"NANSHA, PANYU",20.31,34.51
3E4035,PANAMA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/15 14:30,2025/05/16 09:00,W,7.0,GERALDTON,RCVD,GREEN POWER,GULF AGENCY CO (HK) LTD,SELA,"ZHUHAI, GD",24.59,23.06
3E7638,PANAMA,CONTAINER,2025/05/16 00:00,2025/05/15 23:00,W,7.0,"ZHUHAI, GD",RCVD,HONG DA XIN 758,CONCORD MARINE LIMITED,SWLA,"NANSHA, PANYU",0,0
BOAM7,CHINA,CONTAINER,2025/05/10 14:30,2025/05/11 00:00,S,6.6,HAIPHONG,RCVD,ZHONG GU DONG HAI,PENAVICO (HONG KONG) LIMITED,KC6,OPEN SEA,24.38,27.86
VRTT8,"HONG KONG, CHINA",CONTAINER,2025/05/16 03:30,2025/05/16 14:30,KC17,9.05,KAOHSIUNG,RCVD,NICOLAI MAERSK,SINOTRANS (HK) SHIPPING LTD,KC19,"NANSHAN, SHENZHEN",21.01,30.06
3FMG7,PANAMA,CONTAINER,2025/05/13 17:30,2025/05/14 23:00,KC8,12.8,"YANTIAN, SHENZHEN",RCVD,TEXAS TRIUMPH,EVERGREEN MARINE (HONG KONG) LTD,KC8,KAOHSIUNG,23.25,23.76
3E6682,PANAMA,GENERAL / HEAVY LIFT CARGO,2025/05/13 00:00,2025/05/14 04:00,W,7.0,KAOHSIUNG,RCVD,CHANG SHENG JI 7,CONCORD MARINE LIMITED,SELA,"SHANGHAI, SH",23.95,24.29
BLIG,"TAIWAN, CHINA",CONTAINER,2025/05/13 20:00,2025/05/14 09:00,KC14,8.5,HAIPHONG,RCVD,YM HARMONY,YANG MING LINE (HONG KONG) LTD,KC14,KAOHSIUNG,29.14,16.39
DSOA9,REPUBLIC OF KOREA,CONTAINER,2025/05/12 14:00,2025/05/14 12:00,WA,9.4,KEELUNG,RCVD,KMTC SINGAPORE,KMTC (HK) CO LIMITED,KC12,LAEM CHABANG,23.78,24.74
VREU8,"HONG KONG, CHINA","TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/11 09:00,2025/05/14 23:59,SHELL,8.7,SINGAPORE,RCVD,SC LIAONING,GULF AGENCY CO (HK) LTD,SLA,DAESAN,22.32,27.78
A8VG2,LIBERIA,CONTAINER,2025/05/13 23:00,2025/05/14 10:00,KC18,10.7,"SHANGHAI, SH",RCVD,GSL AFRICA,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,KC18,LAEM CHABANG,25.05,20.02
A8SN5,LIBERIA,CONTAINER,2025/05/13 23:00,2025/05/14 12:00,KC7,10.7,"SHEKOU, SHENZHEN",RCVD,ANL WAIKATO ,CMA CGM (HONG KONG) LIMITED,KC7,"NINGBO, ZJ",25.17,21.57
BQMV,CHINA,GENERAL / HEAVY LIFT CARGO,2025/05/13 23:00,2025/05/14 12:00,ELC,6.4,QINGDAO,RCVD,FU LIAN,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KC7,HAIPHONG,24.11,25.52
VRWN4,"HONG KONG, CHINA",CONTAINER,2025/05/14 02:00,2025/05/14 23:00,KC,10.3,SINGAPORE,RCVD,OOCL SAN FRANCISCO,OOCL HONG KONG BRANCH,KC,KAOHSIUNG,20.84,29.74
VRUN4,"HONG KONG, CHINA",CONTAINER,2025/05/14 00:01,2025/05/14 21:00,KC5,13.2,"SHANGHAI, SH",RCVD,ONE AMAZON,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KC5,SINGAPORE,22.76,26.84
